anio,trimestre,mes_inicio,mes_fin,periodo_completo,dias_trimestre
2014,1,1,3,2014-T1,90
2014,2,4,6,2014-T2,91
2014,3,7,9,2014-T3,92
2014,4,10,12,2014-T4,92
2015,1,1,3,2015-T1,90
2015,2,4,6,2015-T2,91
2015,3,7,9,2015-T3,92
2015,4,10,12,2015-T4,92
2016,1,1,3,2016-T1,91
2016,2,4,6,2016-T2,91
2016,3,7,9,2016-T3,92
2016,4,10,12,2016-T4,92
2017,1,1,3,2017-T1,90
2017,2,4,6,2017-T2,91
2017,3,7,9,2017-T3,92
2017,4,10,12,2017-T4,92
2018,1,1,3,2018-T1,90
2018,2,4,6,2018-T2,91
2018,3,7,9,2018-T3,92
2018,4,10,12,2018-T4,92
2019,1,1,3,2019-T1,90
2019,2,4,6,2019-T2,91
2019,3,7,9,2019-T3,92
2019,4,10,12,2019-T4,92
2020,1,1,3,2020-T1,91
2020,2,4,6,2020-T2,91
2020,3,7,9,2020-T3,92
2020,4,10,12,2020-T4,92
2021,1,1,3,2021-T1,90
2021,2,4,6,2021-T2,91
2021,3,7,9,2021-T3,92
2021,4,10,12,2021-T4,92
2022,1,1,3,2022-T1,90
2022,2,4,6,2022-T2,91
2022,3,7,9,2022-T3,92
2022,4,10,12,2022-T4,92
2023,1,1,3,2023-T1,90
2023,2,4,6,2023-T2,91
2023,3,7,9,2023-T3,92
2023,4,10,12,2023-T4,92
2024,1,1,3,2024-T1,91
2024,2,4,6,2024-T2,91
2024,3,7,9,2024-T3,92
2024,4,10,12,2024-T4,92