anio,trimestre,provincia_id,accesos100hab,accesos100hog
2014,1,PR01,26.72,85.26
2014,1,PR02,52.66,128.57
2014,1,PR03,10.03,39.45
2014,1,PR04,9.09,34.02
2014,1,PR05,17.66,57.59
2014,1,PR06,21.09,68.88
2014,1,PR07,9.71,36.88
2014,1,PR08,17.14,57.33
2014,1,PR09,7.38,28.98
2014,1,PR10,7.81,30.56
2014,1,PR11,21.26,64.52
2014,1,PR12,10.98,41.24
2014,1,PR13,17.26,61.84
2014,1,PR14,9.49,34.85
2014,1,PR15,15.27,51.29
2014,1,PR16,17.69,57.51
2014,1,PR17,10.76,44.44
2014,1,PR18,12.71,49.89
2014,1,PR19,10.92,38.17
2014,1,PR20,13.17,44.25
2014,1,PR21,22.93,72.91
2014,1,PR22,7.73,31.15
2014,1,PR23,22.23,74.98
2014,1,PR24,13.47,54.39
2014,2,PR01,26.61,84.74
2014,2,PR02,52.56,127.68
2014,2,PR03,10.02,39.38
2014,2,PR04,9.06,33.89
2014,2,PR05,17.57,57.31
2014,2,PR06,20.91,68.28
2014,2,PR07,9.69,36.8
2014,2,PR08,17.12,57.25
2014,2,PR09,7.37,28.95
2014,2,PR10,7.82,30.59
2014,2,PR11,21.45,65.09
2014,2,PR12,10.9,40.94
2014,2,PR13,17.2,61.64
2014,2,PR14,9.45,34.7
2014,2,PR15,15.22,51.12
2014,2,PR16,17.62,57.28
2014,2,PR17,10.75,44.37
2014,2,PR18,12.67,49.73
2014,2,PR19,10.89,38.03
2014,2,PR20,13.11,44.04
2014,2,PR21,22.8,72.51
2014,2,PR22,7.7,31.02
2014,2,PR23,22.08,74.44
2014,2,PR24,13.49,54.47
2014,3,PR01,26.69,84.85
2014,3,PR02,52.69,127.35
2014,3,PR03,10.02,39.39
2014,3,PR04,9.35,34.97
2014,3,PR05,17.57,57.32
2014,3,PR06,20.74,67.73
2014,3,PR07,9.94,37.74
2014,3,PR08,17.59,58.84
2014,3,PR09,7.36,28.92
2014,3,PR10,7.82,30.59
2014,3,PR11,21.2,64.33
2014,3,PR12,10.83,40.69
2014,3,PR13,17.15,61.44
2014,3,PR14,9.52,34.93
2014,3,PR15,15.16,50.92
2014,3,PR16,17.57,57.13
2014,3,PR17,10.72,44.27
2014,3,PR18,12.72,49.91
2014,3,PR19,10.78,37.67
2014,3,PR20,13.11,44.03
2014,3,PR21,22.9,72.83
2014,3,PR22,7.69,30.98
2014,3,PR23,21.97,74.08
2014,3,PR24,13.52,54.56
2014,4,PR01,26.96,85.55
2014,4,PR02,52.93,127.29
2014,4,PR03,9.99,39.27
2014,4,PR04,9.28,34.71
2014,4,PR05,17.76,57.92
2014,4,PR06,20.65,67.43
2014,4,PR07,9.89,37.55
2014,4,PR08,17.51,58.56
2014,4,PR09,7.31,28.73
2014,4,PR10,7.81,30.55
2014,4,PR11,21.41,64.99
2014,4,PR12,10.74,40.33
2014,4,PR13,17.49,62.68
2014,4,PR14,9.47,34.75
2014,4,PR15,15.29,51.34
2014,4,PR16,17.8,57.87
2014,4,PR17,10.68,44.08
2014,4,PR18,12.96,50.88
2014,4,PR19,10.84,37.88
2014,4,PR20,13.17,44.26
2014,4,PR21,22.79,72.46
2014,4,PR22,7.65,30.81
2014,4,PR23,21.96,74.05
2014,4,PR24,13.47,54.39
2015,1,PR01,28.93,91.61
2015,1,PR02,53.53,128.08
2015,1,PR03,9.89,38.89
2015,1,PR04,9.15,34.24
2015,1,PR05,18.51,60.38
2015,1,PR06,20.51,66.99
2015,1,PR07,10.17,38.63
2015,1,PR08,17.45,58.36
2015,1,PR09,7.25,28.48
2015,1,PR10,7.79,30.45
2015,1,PR11,22.47,68.21
2015,1,PR12,10.63,39.92
2015,1,PR13,18.05,64.69
2015,1,PR14,9.33,34.25
2015,1,PR15,15.58,52.35
2015,1,PR16,18.31,59.52
2015,1,PR17,10.62,43.84
2015,1,PR18,13.36,52.44
2015,1,PR19,10.97,38.34
2015,1,PR20,18.17,61.05
2015,1,PR21,22.62,71.94
2015,1,PR22,7.58,30.54
2015,1,PR23,22.15,74.68
2015,1,PR24,13.38,54.02
2015,2,PR01,28.03,88.59
2015,2,PR02,54.18,128.99
2015,2,PR03,9.87,38.8
2015,2,PR04,9.13,34.15
2015,2,PR05,19.01,62.01
2015,2,PR06,20.32,66.35
2015,2,PR07,10.15,38.54
2015,2,PR08,17.41,58.21
2015,2,PR09,7.23,28.4
2015,2,PR10,7.76,30.36
2015,2,PR11,22.79,69.15
2015,2,PR12,10.59,39.78
2015,2,PR13,18.6,66.63
2015,2,PR14,9.3,34.15
2015,2,PR15,15.79,53.02
2015,2,PR16,18.83,61.2
2015,2,PR17,10.58,43.69
2015,2,PR18,13.65,53.58
2015,2,PR19,11.11,38.81
2015,2,PR20,18.42,61.89
2015,2,PR21,22.52,71.61
2015,2,PR22,7.56,30.46
2015,2,PR23,22.5,75.85
2015,2,PR24,13.34,53.83
2015,3,PR01,28.24,89.06
2015,3,PR02,53.27,126.17
2015,3,PR03,9.87,38.81
2015,3,PR04,9.36,35.02
2015,3,PR05,19.36,63.15
2015,3,PR06,20.36,66.5
2015,3,PR07,10.34,39.25
2015,3,PR08,17.77,59.44
2015,3,PR09,7.21,28.31
2015,3,PR10,7.79,30.45
2015,3,PR11,22.89,69.47
2015,3,PR12,10.49,39.39
2015,3,PR13,18.97,67.97
2015,3,PR14,9.5,34.87
2015,3,PR15,15.9,53.41
2015,3,PR16,19.11,62.12
2015,3,PR17,10.56,43.59
2015,3,PR18,13.95,54.77
2015,3,PR19,11.12,38.84
2015,3,PR20,18.64,62.62
2015,3,PR21,22.54,71.68
2015,3,PR22,7.44,29.97
2015,3,PR23,22.97,77.47
2015,3,PR24,13.37,53.98
2015,4,PR01,28.17,88.65
2015,4,PR02,51.45,121.24
2015,4,PR03,9.85,38.74
2015,4,PR04,9.0,33.67
2015,4,PR05,19.43,63.37
2015,4,PR06,20.13,65.75
2015,4,PR07,10.01,38.03
2015,4,PR08,17.24,57.67
2015,4,PR09,7.15,28.08
2015,4,PR10,7.79,30.45
2015,4,PR11,23.15,70.27
2015,4,PR12,10.43,39.17
2015,4,PR13,19.06,68.31
2015,4,PR14,9.35,34.31
2015,4,PR15,17.37,58.34
2015,4,PR16,19.22,62.47
2015,4,PR17,10.52,43.45
2015,4,PR18,14.06,55.19
2015,4,PR19,11.07,38.67
2015,4,PR20,16.32,54.85
2015,4,PR21,22.24,70.73
2015,4,PR22,7.35,29.62
2015,4,PR23,23.06,77.77
2015,4,PR24,13.35,53.87
2016,1,PR01,29.04,91.2
2016,1,PR02,52.62,123.37
2016,1,PR03,9.68,38.05
2016,1,PR04,8.86,33.16
2016,1,PR05,21.36,69.67
2016,1,PR06,19.56,63.87
2016,1,PR07,9.47,35.97
2016,1,PR08,16.77,56.1
2016,1,PR09,7.06,27.73
2016,1,PR10,7.69,30.07
2016,1,PR11,24.15,73.3
2016,1,PR12,10.18,38.23
2016,1,PR13,20.06,71.88
2016,1,PR14,9.6,35.26
2016,1,PR15,16.27,54.66
2016,1,PR16,20.64,67.09
2016,1,PR17,10.35,42.75
2016,1,PR18,15.32,60.16
2016,1,PR19,11.19,39.11
2016,1,PR20,14.47,48.61
2016,1,PR21,21.72,69.06
2016,1,PR22,6.9,27.79
2016,1,PR23,25.11,84.69
2016,1,PR24,13.17,53.16
2016,2,PR01,29.22,91.58
2016,2,PR02,51.66,121.27
2016,2,PR03,9.63,37.85
2016,2,PR04,8.92,33.37
2016,2,PR05,20.0,65.24
2016,2,PR06,19.52,63.75
2016,2,PR07,9.49,36.03
2016,2,PR08,16.88,56.44
2016,2,PR09,6.97,27.4
2016,2,PR10,7.66,29.96
2016,2,PR11,23.69,71.89
2016,2,PR12,10.17,38.19
2016,2,PR13,19.42,69.6
2016,2,PR14,9.19,33.73
2016,2,PR15,15.75,52.92
2016,2,PR16,19.92,64.77
2016,2,PR17,10.31,42.56
2016,2,PR18,14.37,56.4
2016,2,PR19,11.03,38.53
2016,2,PR20,13.46,45.23
2016,2,PR21,21.67,68.91
2016,2,PR22,7.04,28.38
2016,2,PR23,24.32,82.01
2016,2,PR24,13.04,52.65
2016,3,PR01,28.33,88.63
2016,3,PR02,52.45,123.09
2016,3,PR03,9.68,38.05
2016,3,PR04,8.88,33.23
2016,3,PR05,20.41,66.58
2016,3,PR06,19.5,63.68
2016,3,PR07,9.48,35.98
2016,3,PR08,16.81,56.22
2016,3,PR09,7.04,27.67
2016,3,PR10,7.67,29.98
2016,3,PR11,23.88,72.49
2016,3,PR12,10.17,38.21
2016,3,PR13,19.77,70.85
2016,3,PR14,9.17,33.68
2016,3,PR15,16.14,54.22
2016,3,PR16,20.25,65.84
2016,3,PR17,10.31,42.57
2016,3,PR18,15.01,58.92
2016,3,PR19,11.12,38.84
2016,3,PR20,13.51,45.4
2016,3,PR21,21.57,68.6
2016,3,PR22,6.97,28.1
2016,3,PR23,24.69,83.27
2016,3,PR24,13.08,52.81
2016,4,PR01,28.86,90.08
2016,4,PR02,52.87,125.25
2016,4,PR03,9.61,37.79
2016,4,PR04,8.79,32.9
2016,4,PR05,21.07,68.73
2016,4,PR06,19.44,63.5
2016,4,PR07,9.41,35.72
2016,4,PR08,16.65,55.69
2016,4,PR09,7.01,27.54
2016,4,PR10,7.62,29.81
2016,4,PR11,23.99,72.81
2016,4,PR12,10.07,37.83
2016,4,PR13,19.89,71.28
2016,4,PR14,9.52,34.94
2016,4,PR15,16.1,54.08
2016,4,PR16,20.42,66.39
2016,4,PR17,10.25,42.32
2016,4,PR18,15.19,59.65
2016,4,PR19,11.08,38.72
2016,4,PR20,14.17,47.62
2016,4,PR21,21.61,68.73
2016,4,PR22,6.84,27.57
2016,4,PR23,24.61,83.01
2016,4,PR24,13.04,52.65
2017,1,PR01,29.04,91.2
2017,1,PR02,52.62,123.37
2017,1,PR03,9.68,38.05
2017,1,PR04,8.86,33.16
2017,1,PR05,21.36,69.67
2017,1,PR06,19.56,63.87
2017,1,PR07,9.47,35.97
2017,1,PR08,16.77,56.1
2017,1,PR09,7.06,27.73
2017,1,PR10,7.69,30.07
2017,1,PR11,24.15,73.3
2017,1,PR12,10.18,38.23
2017,1,PR13,20.06,71.88
2017,1,PR14,9.6,35.26
2017,1,PR15,16.27,54.66
2017,1,PR16,20.64,67.09
2017,1,PR17,10.35,42.75
2017,1,PR18,15.32,60.16
2017,1,PR19,11.19,39.11
2017,1,PR20,14.47,48.61
2017,1,PR21,21.72,69.06
2017,1,PR22,6.9,27.79
2017,1,PR23,25.11,84.69
2017,1,PR24,13.17,53.16
2017,2,PR01,29.22,91.58
2017,2,PR02,51.66,121.27
2017,2,PR03,9.63,37.85
2017,2,PR04,8.92,33.37
2017,2,PR05,20.0,65.24
2017,2,PR06,19.52,63.75
2017,2,PR07,9.49,36.03
2017,2,PR08,16.88,56.44
2017,2,PR09,6.97,27.4
2017,2,PR10,7.66,29.96
2017,2,PR11,23.69,71.89
2017,2,PR12,10.17,38.19
2017,2,PR13,19.42,69.6
2017,2,PR14,9.19,33.73
2017,2,PR15,15.75,52.92
2017,2,PR16,19.92,64.77
2017,2,PR17,10.31,42.56
2017,2,PR18,14.37,56.4
2017,2,PR19,11.03,38.53
2017,2,PR20,13.46,45.23
2017,2,PR21,21.67,68.91
2017,2,PR22,7.04,28.38
2017,2,PR23,24.32,82.01
2017,2,PR24,13.04,52.65
2017,3,PR01,28.33,88.63
2017,3,PR02,52.45,123.09
2017,3,PR03,9.68,38.05
2017,3,PR04,8.88,33.23
2017,3,PR05,20.41,66.58
2017,3,PR06,19.5,63.68
2017,3,PR07,9.48,35.98
2017,3,PR08,16.81,56.22
2017,3,PR09,7.04,27.67
2017,3,PR10,7.67,29.98
2017,3,PR11,23.88,72.49
2017,3,PR12,10.17,38.21
2017,3,PR13,19.77,70.85
2017,3,PR14,9.17,33.68
2017,3,PR15,16.14,54.22
2017,3,PR16,20.25,65.84
2017,3,PR17,10.31,42.57
2017,3,PR18,15.01,58.92
2017,3,PR19,11.12,38.84
2017,3,PR20,13.51,45.4
2017,3,PR21,21.57,68.6
2017,3,PR22,6.97,28.1
2017,3,PR23,24.69,83.27
2017,3,PR24,13.08,52.81
2017,4,PR01,28.86,90.08
2017,4,PR02,52.87,125.25
2017,4,PR03,9.61,37.79
2017,4,PR04,8.79,32.9
2017,4,PR05,21.07,68.73
2017,4,PR06,19.44,63.5
2017,4,PR07,9.41,35.72
2017,4,PR08,16.65,55.69
2017,4,PR09,7.01,27.54
2017,4,PR10,7.62,29.81
2017,4,PR11,23.99,72.81
2017,4,PR12,10.07,37.83
2017,4,PR13,19.89,71.28
2017,4,PR14,9.52,34.94
2017,4,PR15,16.1,54.08
2017,4,PR16,20.42,66.39
2017,4,PR17,10.25,42.32
2017,4,PR18,15.19,59.65
2017,4,PR19,11.08,38.72
2017,4,PR20,14.17,47.62
2017,4,PR21,21.61,68.73
2017,4,PR22,6.84,27.57
2017,4,PR23,24.61,83.01
2017,4,PR24,13.04,52.65
2018,1,PR01,25.89,79.97
2018,1,PR02,56.48,134.65
2018,1,PR03,9.43,37.07
2018,1,PR04,8.42,31.5
2018,1,PR05,19.16,62.5
2018,1,PR06,18.85,61.55
2018,1,PR07,9.07,34.44
2018,1,PR08,15.9,53.19
2018,1,PR09,6.76,26.56
2018,1,PR10,7.23,28.27
2018,1,PR11,21.42,65.02
2018,1,PR12,9.43,35.43
2018,1,PR13,18.56,66.49
2018,1,PR14,8.42,30.9
2018,1,PR15,15.1,50.72
2018,1,PR16,19.28,62.69
2018,1,PR17,9.7,40.03
2018,1,PR18,15.12,59.37
2018,1,PR19,8.98,31.38
2018,1,PR20,12.83,43.11
2018,1,PR21,19.84,63.11
2018,1,PR22,5.98,24.11
2018,1,PR23,20.41,68.83
2018,1,PR24,13.03,52.62
2018,2,PR01,26.06,80.31
2018,2,PR02,56.81,135.61
2018,2,PR03,9.36,36.78
2018,2,PR04,8.31,31.08
2018,2,PR05,19.58,63.88
2018,2,PR06,18.58,60.68
2018,2,PR07,9.0,34.17
2018,2,PR08,15.72,52.57
2018,2,PR09,6.68,26.25
2018,2,PR10,7.12,27.85
2018,2,PR11,21.5,65.25
2018,2,PR12,9.19,34.51
2018,2,PR13,18.51,66.32
2018,2,PR14,8.77,32.21
2018,2,PR15,15.04,50.51
2018,2,PR16,19.21,62.45
2018,2,PR17,9.51,39.27
2018,2,PR18,15.08,59.21
2018,2,PR19,8.95,31.28
2018,2,PR20,12.76,42.88
2018,2,PR21,19.7,62.64
2018,2,PR22,5.77,23.23
2018,2,PR23,20.28,68.38
2018,2,PR24,12.97,52.34
2018,3,PR01,26.08,80.19
2018,3,PR02,57.86,138.28
2018,3,PR03,9.27,36.43
2018,3,PR04,7.75,28.99
2018,3,PR05,19.49,63.59
2018,3,PR06,18.28,59.71
2018,3,PR07,8.6,32.65
2018,3,PR08,14.69,49.14
2018,3,PR09,6.61,25.98
2018,3,PR10,7.02,27.47
2018,3,PR11,21.45,65.11
2018,3,PR12,9.0,33.79
2018,3,PR13,18.46,66.15
2018,3,PR14,8.41,30.87
2018,3,PR15,14.98,50.34
2018,3,PR16,19.14,62.22
2018,3,PR17,9.31,38.45
2018,3,PR18,15.04,59.04
2018,3,PR19,8.92,31.17
2018,3,PR20,12.66,42.55
2018,3,PR21,19.29,61.36
2018,3,PR22,5.59,22.53
2018,3,PR23,20.15,67.95
2018,3,PR24,12.89,52.05
2018,4,PR01,26.4,80.98
2018,4,PR02,57.12,136.67
2018,4,PR03,9.02,35.48
2018,4,PR04,8.08,30.22
2018,4,PR05,19.5,63.61
2018,4,PR06,18.14,59.23
2018,4,PR07,8.77,33.3
2018,4,PR08,15.19,50.79
2018,4,PR09,6.48,25.46
2018,4,PR10,6.92,27.07
2018,4,PR11,21.62,65.62
2018,4,PR12,8.79,33.01
2018,4,PR13,18.42,66.01
2018,4,PR14,8.41,30.89
2018,4,PR15,16.78,56.38
2018,4,PR16,19.07,62.01
2018,4,PR17,9.05,37.35
2018,4,PR18,15.01,58.92
2018,4,PR19,10.4,36.34
2018,4,PR20,12.6,42.35
2018,4,PR21,19.97,63.51
2018,4,PR22,7.71,31.05
2018,4,PR23,20.02,67.52
2018,4,PR24,12.65,51.07
2019,1,PR01,20.58,63.0
2019,1,PR02,52.1,124.82
2019,1,PR03,8.81,34.64
2019,1,PR04,7.88,29.5
2019,1,PR05,14.67,47.84
2019,1,PR06,17.69,57.78
2019,1,PR07,8.58,32.59
2019,1,PR08,14.88,49.78
2019,1,PR09,6.32,24.81
2019,1,PR10,6.82,26.68
2019,1,PR11,18.59,56.42
2019,1,PR12,8.49,31.89
2019,1,PR13,12.28,43.99
2019,1,PR14,8.18,30.04
2019,1,PR15,12.8,42.99
2019,1,PR16,13.66,44.41
2019,1,PR17,8.78,36.23
2019,1,PR18,11.16,43.79
2019,1,PR19,8.58,29.99
2019,1,PR20,9.66,32.47
2019,1,PR21,19.58,62.26
2019,1,PR22,7.55,30.43
2019,1,PR23,15.01,50.62
2019,1,PR24,12.39,50.03
2019,2,PR01,16.33,49.88
2019,2,PR02,37.11,89.03
2019,2,PR03,8.52,33.51
2019,2,PR04,7.69,28.78
2019,2,PR05,14.17,46.22
2019,2,PR06,17.33,56.6
2019,2,PR07,8.42,31.96
2019,2,PR08,14.59,48.8
2019,2,PR09,6.13,24.09
2019,2,PR10,6.73,26.31
2019,2,PR11,18.19,55.2
2019,2,PR12,8.14,30.56
2019,2,PR13,11.82,42.35
2019,2,PR14,7.97,29.27
2019,2,PR15,12.48,41.94
2019,2,PR16,13.14,42.71
2019,2,PR17,8.52,35.18
2019,2,PR18,10.89,42.75
2019,2,PR19,6.68,23.33
2019,2,PR20,9.27,31.14
2019,2,PR21,19.14,60.87
2019,2,PR22,7.39,29.77
2019,2,PR23,14.36,48.44
2019,2,PR24,12.05,48.63
2019,3,PR01,19.63,59.81
2019,3,PR02,48.73,117.04
2019,3,PR03,7.92,31.15
2019,3,PR04,7.39,27.65
2019,3,PR05,13.75,44.84
2019,3,PR06,16.42,53.64
